"Object","Close-Approach (CA) Date","CA DistanceNominal (au)","CA DistanceMinimum (au)","V relative(km/s)","V infinity(km/s)","H(mag)","Diameter","Rarity"
"(2023 TX6)","2023-Oct-09 05:07 ± < 00:01","0.00311","0.00310","8.38","8.28","29.2","3.9 m -  8.8 m","0"
"(2023 TN22)","2023-Oct-09 09:12 ±    00:04","0.04434","0.04358","9.20","9.20","25.5","21 m -   47 m","0"
"(2023 TL)","2023-Oct-09 10:28 ± < 00:01","0.02122","0.02112","13.92","13.91","24.5","33 m -   74 m","0"
"(2023 TY9)","2023-Oct-09 12:38 ± < 00:01","0.01253","0.01250","17.96","17.95","25.0","27 m -   61 m","0"
"(2023 TW)","2023-Oct-09 14:18 ± < 00:01","0.00531","0.00530","7.69","7.63","27.3","9.3 m -   21 m","0"
"(2023 TZ5)","2023-Oct-09 17:02 ± < 00:01","0.01557","0.01554","13.54","13.52","26.6","12 m -   28 m","0"
"(2007 UM12)","2023-Oct-09 17:37 ± < 00:01","0.07744","0.07744","7.30","7.30","21.5","130 m -  300 m","0"
"(2023 TM15)","2023-Oct-09 18:21 ± < 00:01","0.02031","0.02018","17.07","17.06","26.8","11 m -   26 m","0"
"(2023 TX19)","2023-Oct-09 20:18 ±    00:09","0.01991","0.01961","14.63","14.62","25.5","21 m -   47 m","0"
"(2023 TR)","2023-Oct-09 22:04 ± < 00:01","0.01061","0.01057","7.45","7.42","26.1","16 m -   35 m","0"
"(2023 TZ65)","2023-Oct-10 02:27 ±    00:03","0.00120","0.00120","21.59","21.49","29.6","3.2 m -  7.0 m","0"
"(2023 TO)","2023-Oct-10 04:43 ± < 00:01","0.00970","0.00970","10.67","10.65","26.3","15 m -   33 m","0"
"(2023 TA7)","2023-Oct-10 07:01 ± < 00:01","0.03173","0.03163","10.43","10.42","24.9","28 m -   64 m","0"
"(2023 UC2)","2023-Oct-10 16:27 ±    00:02","0.02078","0.02066","16.08","16.07","26.8","12 m -   26 m","0"
"(2023 TG8)","2023-Oct-10 20:22 ± < 00:01","0.00780","0.00779","12.52","12.49","28.1","6.4 m -   14 m","0"
"(2023 TZ4)","2023-Oct-10 23:01 ± < 00:01","0.02756","0.02748","8.68","8.67","25.4","22 m -   50 m","0"
"(2023 TH8)","2023-Oct-10 23:23 ± < 00:01","0.00629","0.00627","29.53","29.52","26.4","14 m -   31 m","0"
"(2023 UD)","2023-Oct-10 23:41 ± < 00:01","0.01290","0.01287","10.00","9.98","27.5","8.5 m -   19 m","0"
"(2023 TF2)","2023-Oct-11 02:03 ± < 00:01","0.02441","0.02416","19.04","19.04","25.4","22 m -   48 m","0"
"(2023 TE)","2023-Oct-11 04:37 ± < 00:01","0.01088","0.01086","5.58","5.54","26.9","11 m -   24 m","0"
"(2023 TP22)","2023-Oct-11 06:05 ± < 00:01","0.04274","0.04257","13.88","13.87","22.8","73 m -  160 m","0"
"(2023 TU9)","2023-Oct-11 06:21 ± < 00:01","0.03307","0.03300","12.40","12.39","23.3","58 m -  130 m","0"
"(2023 UQ1)","2023-Oct-11 07:46 ±    00:03","0.02475","0.02450","8.37","8.36","26.5","14 m -   30 m","0"
"(2023 UM3)","2023-Oct-11 11:06 ±    00:07","0.04083","0.04056","14.23","14.23","25.0","26 m -   59 m","0"
"(2023 SQ2)","2023-Oct-11 12:44 ± < 00:01","0.07390","0.07385","4.60","4.59","26.0","17 m -   38 m","0"
"(2023 UZ8)","2023-Oct-11 12:52 ±    00:04","0.02269","0.02249","5.52","5.50","26.8","12 m -   26 m","0"
"(2022 UX1)","2023-Oct-11 13:53 ±    04:47","0.00801","0.00492","8.58","8.54","28.0","6.7 m -   15 m","0"
"(2023 TM1)","2023-Oct-11 14:47 ±    00:04","0.06539","0.06486","7.11","7.11","25.9","18 m -   40 m","0"
"(2023 UY8)","2023-Oct-11 15:01 ±    01:59","0.01217","0.01183","9.43","9.40","26.0","17 m -   38 m","0"
"(2023 RD11)","2023-Oct-11 20:35 ± < 00:01","0.03280","0.03276","9.53","9.52","24.6","31 m -   70 m","0"
"(2023 TF4)","2023-Oct-11 21:52 ± < 00:01","0.01533","0.01529","8.72","8.70","26.8","12 m -   26 m","0"
"(2023 TA16)","2023-Oct-11 22:43 ± < 00:01","0.00505","0.00504","19.58","19.55","28.1","6.3 m -   14 m","0"
"(2023 TS1)","2023-Oct-11 22:51 ±    00:03","0.08675","0.08585","10.29","10.28","24.1","39 m -   88 m","0"
"(2023 TZ9)","2023-Oct-12 00:18 ±    00:04","0.02793","0.02777","15.06","15.05","24.9","28 m -   63 m","0"
"(2015 KW120)","2023-Oct-12 02:37 ± < 00:01","0.04658","0.04658","13.03","13.03","26.0","17 m -   38 m","0"
"(2023 TA10)","2023-Oct-12 05:59 ± < 00:01","0.04671","0.04664","9.40","9.40","24.1","39 m -   88 m","0"
"(2023 TP1)","2023-Oct-12 06:37 ± < 00:01","0.03565","0.03521","13.24","13.24","24.7","31 m -   69 m","0"
"(2023 TS16)","2023-Oct-12 12:38 ± < 00:01","0.02386","0.02381","11.17","11.16","26.0","17 m -   38 m","0"
"(2023 TL8)","2023-Oct-12 13:24 ± < 00:01","0.02361","0.02354","9.84","9.83","25.2","25 m -   55 m","0"
"(2023 SM7)","2023-Oct-12 17:07 ± < 00:01","0.08167","0.08150","6.95","6.95","24.5","33 m -   74 m","0"
"(2024 FN3)","2023-Oct-12 18:08 ±    01:48","0.09037","0.08989","7.15","7.14","25.4","23 m -   51 m","0"
"(2023 UL)","2023-Oct-12 18:45 ± < 00:01","0.01532","0.01528","9.29","9.28","28.1","6.4 m -   14 m","0"
"(2023 TT)","2023-Oct-12 22:18 ± < 00:01","0.07367","0.07331","15.68","15.68","24.1","41 m -   91 m","0"
"(2023 TF3)","2023-Oct-12 23:28 ±    00:03","0.02831","0.02815","19.61","19.61","25.6","20 m -   44 m","0"
"(2023 TU15)","2023-Oct-12 23:46 ±    00:02","0.00195","0.00194","12.02","11.90","29.2","3.9 m -  8.8 m","0"
"(2023 TC1)","2023-Oct-13 02:57 ± < 00:01","0.02703","0.02690","8.12","8.11","26.9","11 m -   25 m","0"
"(2023 TB4)","2023-Oct-13 04:06 ± < 00:01","0.01739","0.01730","10.62","10.60","26.9","11 m -   25 m","0"
"(2023 TJ1)","2023-Oct-13 05:24 ±    00:05","0.05010","0.04927","9.06","9.06","25.2","24 m -   53 m","0"
"(2023 TK12)","2023-Oct-13 05:41 ±    00:03","0.03056","0.03037","17.76","17.75","25.8","19 m -   42 m","0"
"(2023 TE8)","2023-Oct-13 07:55 ± < 00:01","0.04403","0.04351","12.34","12.33","26.1","16 m -   36 m","0"
"(2023 SL3)","2023-Oct-13 10:39 ± < 00:01","0.06848","0.06822","15.09","15.09","23.0","66 m -  150 m","0"
"(2023 TP15)","2023-Oct-13 14:20 ± < 00:01","0.00746","0.00744","22.92","22.91","26.0","17 m -   38 m","0"
"(2023 TM27)","2023-Oct-13 15:09 ± < 00:01","0.00344","0.00344","12.54","12.48","28.7","4.8 m -   11 m","0"
"(2023 TE1)","2023-Oct-13 15:30 ± < 00:01","0.08761","0.08602","19.40","19.39","24.7","31 m -   68 m","0"
"(2023 TU5)","2023-Oct-13 18:37 ± < 00:01","0.01182","0.01159","8.34","8.31","27.8","7.4 m -   16 m","0"
"(2023 TD4)","2023-Oct-13 22:56 ± < 00:01","0.01444","0.01435","6.42","6.39","27.2","9.6 m -   21 m","0"
"(2023 TR3)","2023-Oct-14 03:47 ± < 00:01","0.06758","0.06736","13.34","13.33","24.3","38 m -   84 m","0"
"(2023 TJ12)","2023-Oct-14 05:23 ± < 00:01","0.02729","0.02709","10.66","10.65","26.7","12 m -   28 m","0"
"(2023 UE)","2023-Oct-14 05:45 ± < 00:01","0.00501","0.00501","5.22","5.12","28.9","4.5 m - 10.0 m","0"
"(2023 TV26)","2023-Oct-14 06:06 ±    00:13","0.07489","0.07404","7.84","7.84","25.9","17 m -   39 m","0"
"(2016 CZ135)","2023-Oct-14 06:07 ± < 00:01","0.09735","0.09735","12.22","12.21","20.6","200 m -  450 m","0"
"(2023 TO4)","2023-Oct-14 06:59 ± < 00:01","0.00476","0.00475","16.79","16.75","27.5","8.3 m -   18 m","0"
"(2023 US5)","2023-Oct-14 08:31 ±    00:38","0.05513","0.05387","6.48","6.47","27.0","11 m -   24 m","0"
"(2008 TF)","2023-Oct-14 08:45 ± < 00:01","0.08263","0.08263","17.21","17.20","21.9","110 m -  250 m","0"
"(2023 TD7)","2023-Oct-14 11:11 ± < 00:01","0.00115","0.00114","10.09","9.86","29.2","3.8 m -  8.6 m","0"
"(2023 TB5)","2023-Oct-14 11:52 ±    00:04","0.07671","0.07511","8.41","8.41","24.6","33 m -   73 m","0"
"(2023 TQ3)","2023-Oct-14 12:36 ± < 00:01","0.00985","0.00984","11.25","11.23","25.6","20 m -   45 m","0"
"(2023 TO17)","2023-Oct-14 14:35 ± < 00:01","0.00036","0.00036","15.16","14.67","29.7","3.1 m -  6.9 m","0"
"(2023 TD8)","2023-Oct-14 16:14 ± < 00:01","0.01444","0.01439","9.86","9.84","28.1","6.3 m -   14 m","0"
"(2023 UY)","2023-Oct-14 17:43 ±    00:02","0.00104","0.00104","8.03","7.71","30.0","2.7 m -  6.1 m","0"
"(2023 UL1)","2023-Oct-14 18:05 ±    00:08","0.09142","0.09098","17.46","17.46","24.7","30 m -   67 m","0"
"(2023 US2)","2023-Oct-15 02:30 ±    00:22","0.02344","0.02302","11.85","11.84","27.0","10 m -   23 m","0"
"(2023 TC7)","2023-Oct-15 03:20 ± < 00:01","0.00445","0.00445","6.80","6.72","26.9","11 m -   25 m","0"
"(2023 TZ6)","2023-Oct-15 04:47 ± < 00:01","0.02839","0.02818","12.51","12.50","26.4","14 m -   31 m","0"
"(2022 WT11)","2023-Oct-15 05:18 ± < 00:01","0.08843","0.08843","7.74","7.73","24.1","41 m -   92 m","0"
"(2023 UJ6)","2023-Oct-15 09:43 ±    00:03","0.02361","0.02338","19.24","19.23","27.6","8.1 m -   18 m","0"
"(2023 UY1)","2023-Oct-15 10:06 ±    00:18","0.02768","0.02735","6.16","6.14","27.2","9.8 m -   22 m","0"
"(2023 TD167)","2023-Oct-15 13:11 ± < 00:01","0.00664","0.00662","3.26","3.14","29.4","3.6 m -  7.9 m","0"
"(2022 UY)","2023-Oct-15 13:51 ± < 00:01","0.08096","0.08096","8.29","8.28","25.5","21 m -   47 m","0"
"(2023 UX1)","2023-Oct-15 16:34 ±    00:03","0.01679","0.01667","20.73","20.73","26.0","17 m -   37 m","0"
"(2021 TC1)","2023-Oct-15 19:06 ± < 00:01","0.09809","0.09808","4.30","4.30","25.3","23 m -   51 m","0"
"(2023 UB)","2023-Oct-15 19:08 ± < 00:01","0.00039","0.00039","15.55","15.11","30.1","2.6 m -  5.8 m","0"
"(2023 RO49)","2023-Oct-15 20:09 ± < 00:01","0.06571","0.06571","4.34","4.33","24.4","35 m -   78 m","0"
"(2023 TZ8)","2023-Oct-15 20:35 ±    00:06","0.02842","0.02815","9.43","9.42","26.7","12 m -   28 m","0"
"(2007 SQ6)","2023-Oct-15 23:26 ± < 00:01","0.04956","0.04956","6.45","6.45","22.2","97 m -  220 m","0"
"(2023 UT2)","2023-Oct-16 01:28 ± < 00:01","0.05293","0.05288","16.31","16.30","22.9","71 m -  160 m","0"
"(2023 US)","2023-Oct-16 05:14 ± < 00:01","0.02803","0.02787","8.63","8.62","25.8","18 m -   40 m","0"
"(2023 UH4)","2023-Oct-16 07:36 ±    03:33","0.06644","0.06512","10.20","10.19","26.2","15 m -   34 m","0"
"(2023 TA4)","2023-Oct-16 08:07 ± < 00:01","0.01869","0.01865","4.15","4.11","27.6","8.1 m -   18 m","0"
"(2023 TR15)","2023-Oct-16 09:35 ±    00:01","0.00881","0.00879","8.78","8.75","28.0","6.6 m -   15 m","0"
"(2023 UR2)","2023-Oct-16 11:17 ± < 00:01","0.00858","0.00856","8.18","8.14","26.4","14 m -   31 m","0"
"(2017 HG)","2023-Oct-16 11:47 ± 7_14:58","0.06941","0.00986","14.16","14.16","26.1","16 m -   35 m","0"
"(2023 UL9)","2023-Oct-16 13:37 ±    00:05","0.03786","0.03715","13.41","13.41","25.8","18 m -   41 m","0"
"(2019 UZ3)","2023-Oct-16 13:53 ± 7_11:48","0.02456","0.01798","8.31","8.30","27.0","11 m -   24 m","0"
"(2023 TT8)","2023-Oct-16 18:41 ± < 00:01","0.01480","0.01477","7.93","7.90","26.6","13 m -   28 m","0"
"(2023 TN15)","2023-Oct-16 22:45 ±    00:10","0.03171","0.03159","3.86","3.84","27.4","8.8 m -   20 m","0"
"(2023 TH5)","2023-Oct-17 00:39 ± < 00:01","0.07400","0.07343","11.34","11.33","23.9","44 m -   97 m","0"
"(2023 UM10)","2023-Oct-17 07:03 ±    01:34","0.00502","0.00492","10.14","10.09","27.9","7.1 m -   16 m","0"
"(2023 UU1)","2023-Oct-17 11:41 ± < 00:01","0.00352","0.00351","9.14","9.05","27.4","8.6 m -   19 m","0"
"(2023 TF8)","2023-Oct-17 12:40 ± < 00:01","0.01408","0.01398","20.12","20.11","26.9","11 m -   25 m","0"
"(2023 TT15)","2023-Oct-17 15:20 ± < 00:01","0.01598","0.01593","6.42","6.39","28.1","6.4 m -   14 m","0"
"(2023 TH12)","2023-Oct-17 15:54 ± < 00:01","0.01984","0.01979","8.34","8.33","26.0","17 m -   38 m","0"
"(2023 TT16)","2023-Oct-17 16:34 ± < 00:01","0.00351","0.00350","20.19","20.16","27.9","7.0 m -   16 m","0"
"(2023 UR3)","2023-Oct-17 20:55 ± < 00:01","0.01723","0.01716","8.34","8.33","26.3","15 m -   33 m","0"
"(2023 TT36)","2023-Oct-18 00:01 ±    00:02","0.02993","0.02957","7.13","7.11","26.4","14 m -   31 m","0"
"(2023 TK2)","2023-Oct-18 04:10 ±    00:06","0.09741","0.09684","4.80","4.79","25.3","23 m -   52 m","0"
"(2023 UX2)","2023-Oct-18 07:29 ± < 00:01","0.00136","0.00136","18.75","18.64","29.5","3.3 m -  7.5 m","0"
"(2023 UJ1)","2023-Oct-18 07:44 ± < 00:01","0.03427","0.03400","14.69","14.68","26.1","16 m -   36 m","0"
"(2023 UL3)","2023-Oct-18 08:08 ± < 00:01","0.00991","0.00988","13.54","13.52","26.6","12 m -   28 m","0"
"(2023 UH9)","2023-Oct-18 17:12 ±    00:10","0.00070","0.00069","9.41","8.99","30.8","1.8 m -  4.1 m","0"
"(2023 UQ10)","2023-Oct-18 17:20 ±    00:39","0.00980","0.00958","7.37","7.33","27.3","9.2 m -   21 m","0"
"(2023 UF3)","2023-Oct-18 18:32 ±    00:01","0.01110","0.01106","7.16","7.13","27.2","9.5 m -   21 m","0"
"(2017 UD1)","2023-Oct-18 18:53 ± < 00:01","0.09455","0.09455","11.61","11.61","24.8","29 m -   65 m","0"
"(2023 UP6)","2023-Oct-18 20:08 ± < 00:01","0.03180","0.03153","16.22","16.22","25.6","20 m -   45 m","0"
"(2023 UR7)","2023-Oct-18 22:19 ± < 00:01","0.02111","0.02101","7.71","7.69","26.5","13 m -   30 m","0"
"(2022 UO10)","2023-Oct-19 00:38 ±    02:42","0.01984","0.01776","9.77","9.75","26.8","12 m -   26 m","0"
"(2023 UJ9)","2023-Oct-19 02:02 ± < 00:01","0.00495","0.00492","14.87","14.84","27.7","7.6 m -   17 m","0"
"(2023 TH4)","2023-Oct-19 02:30 ± < 00:01","0.01417","0.01413","5.41","5.38","27.0","10 m -   23 m","0"
"(2023 US6)","2023-Oct-19 02:38 ±    00:14","0.00896","0.00892","15.37","15.35","27.2","9.6 m -   21 m","0"
"(2023 TM14)","2023-Oct-19 07:07 ± < 00:01","0.02114","0.02109","6.96","6.95","26.7","12 m -   28 m","0"
"(2023 TY19)","2023-Oct-19 09:36 ±    00:01","0.03738","0.03686","9.19","9.19","26.5","14 m -   30 m","0"
"(2023 TP7)","2023-Oct-19 11:13 ± < 00:01","0.02052","0.02041","11.66","11.65","25.6","20 m -   46 m","0"
"(2023 UT8)","2023-Oct-19 13:18 ±    01:15","0.02817","0.02756","6.52","6.50","27.4","8.8 m -   20 m","0"
"(2023 UP)","2023-Oct-19 17:29 ± < 00:01","0.00681","0.00679","14.17","14.15","27.9","7.0 m -   16 m","0"
"(2023 UW4)","2023-Oct-19 17:58 ± < 00:01","0.00376","0.00375","10.89","10.83","28.1","6.4 m -   14 m","0"
"(2023 UM1)","2023-Oct-19 18:49 ±    00:02","0.06362","0.06310","15.56","15.55","25.0","27 m -   59 m","0"
"(2023 UM4)","2023-Oct-19 22:35 ±    00:05","0.01508","0.01495","9.63","9.61","26.4","14 m -   32 m","0"
"(2023 UW1)","2023-Oct-19 23:46 ± < 00:01","0.00533","0.00532","7.40","7.33","26.9","11 m -   25 m","0"
"(2023 UH13)","2023-Oct-20 01:29 ±    00:01","0.03567","0.03525","16.39","16.39","25.9","18 m -   39 m","0"
"(2020 UR)","2023-Oct-20 03:58 ± 5_17:43","0.01491","0.00911","12.91","12.90","27.9","7.0 m -   16 m","0"
"(2023 UM2)","2023-Oct-20 05:01 ±    00:05","0.06298","0.06167","11.38","11.37","25.1","25 m -   55 m","0"
"(2023 UH)","2023-Oct-20 09:16 ± < 00:01","0.01731","0.01724","11.09","11.08","26.1","16 m -   35 m","0"
"(2023 VC8)","2023-Oct-20 19:27 ±    00:02","0.07427","0.07420","7.03","7.03","23.0","68 m -  150 m","0"
"(2013 UG1)","2023-Oct-20 20:37 ± < 00:01","0.08764","0.08764","11.99","11.98","22.6","81 m -  180 m","0"
"(2023 VB1)","2023-Oct-20 23:03 ±    00:05","0.03852","0.03823","7.23","7.22","25.7","19 m -   43 m","0"
"(2023 UD4)","2023-Oct-21 00:45 ± < 00:01","0.00339","0.00338","4.26","4.07","28.0","6.6 m -   15 m","0"
"(2023 UV1)","2023-Oct-21 01:13 ± < 00:01","0.00730","0.00729","9.69","9.65","26.6","13 m -   28 m","0"
"(2023 UE6)","2023-Oct-21 03:28 ±    00:02","0.01404","0.01394","7.35","7.33","27.6","7.9 m -   18 m","0"
"(2023 UB4)","2023-Oct-21 04:08 ± < 00:01","0.05018","0.04990","19.65","19.65","24.1","40 m -   90 m","0"
"(2023 TP9)","2023-Oct-21 04:13 ± < 00:01","0.05424","0.05343","20.93","20.93","24.2","38 m -   86 m","0"
"(2023 UQ6)","2023-Oct-21 04:17 ±    00:01","0.03133","0.03117","18.01","18.00","25.4","22 m -   50 m","0"
"(2023 UW)","2023-Oct-21 05:10 ± < 00:01","0.01077","0.01075","5.95","5.91","28.0","6.8 m -   15 m","0"
"(2023 UG3)","2023-Oct-21 10:08 ± < 00:01","0.01176","0.01172","12.13","12.11","26.3","14 m -   32 m","0"
"(2023 UL2)","2023-Oct-21 14:51 ± < 00:01","0.03748","0.03736","15.74","15.74","24.3","37 m -   82 m","0"
"(2023 UH1)","2023-Oct-21 16:14 ± < 00:01","0.02522","0.02517","5.06","5.04","27.1","10 m -   23 m","0"
"(2023 UE3)","2023-Oct-21 19:31 ± < 00:01","0.00634","0.00633","4.69","4.60","28.6","5.1 m -   11 m","0"
"(2023 UP2)","2023-Oct-21 23:22 ± < 00:01","0.00944","0.00937","8.74","8.71","26.7","12 m -   27 m","0"
"(2023 UG1)","2023-Oct-22 05:10 ± < 00:01","0.01126","0.01125","2.87","2.78","27.5","8.3 m -   19 m","0"
"(2023 TW4)","2023-Oct-22 05:50 ± < 00:01","0.01632","0.01626","10.54","10.52","25.6","20 m -   44 m","0"
"(2023 TX2)","2023-Oct-22 12:53 ± < 00:01","0.03389","0.03380","7.51","7.50","25.5","22 m -   48 m","0"
"(2023 TW26)","2023-Oct-22 13:30 ± < 00:01","0.00600","0.00599","5.63","5.55","28.6","5.1 m -   11 m","0"
"(2023 UZ)","2023-Oct-22 15:56 ± < 00:01","0.00629","0.00629","13.13","13.09","27.3","9.4 m -   21 m","0"
"(2023 TX10)","2023-Oct-22 23:35 ± < 00:01","0.07287","0.07270","6.40","6.40","25.6","20 m -   44 m","0"
"(2023 VS2)","2023-Oct-23 05:19 ±    00:06","0.07187","0.07107","11.90","11.89","23.7","47 m -  110 m","0"
"(2023 TP16)","2023-Oct-23 06:18 ±    00:04","0.00969","0.00968","1.50","1.30","29.8","2.9 m -  6.6 m","0"
"(2023 TV4)","2023-Oct-23 07:51 ± < 00:01","0.01297","0.01296","5.01","4.96","25.8","19 m -   42 m","0"
"(2023 VP)","2023-Oct-23 08:07 ±    00:05","0.03910","0.03870","12.52","12.51","24.6","33 m -   73 m","0"
"(2023 UU4)","2023-Oct-23 11:09 ± < 00:01","0.01380","0.01372","16.08","16.07","25.8","18 m -   41 m","0"
"(2023 UU6)","2023-Oct-23 12:10 ±    00:09","0.03290","0.03255","11.41","11.40","26.9","11 m -   25 m","0"
"(2023 TC6)","2023-Oct-23 13:06 ± < 00:01","0.03421","0.03387","8.45","8.44","25.0","27 m -   60 m","0"
"(2023 VC1)","2023-Oct-23 15:41 ±    00:02","0.01855","0.01848","4.36","4.33","26.4","14 m -   32 m","0"
"(2023 UN10)","2023-Oct-23 18:43 ± < 00:01","0.03894","0.03876","10.81","10.81","24.2","38 m -   85 m","0"
"(2023 VR1)","2023-Oct-23 19:31 ±    00:06","0.02854","0.02826","9.21","9.20","25.8","18 m -   41 m","0"
"(2023 UK3)","2023-Oct-23 19:47 ± < 00:01","0.00558","0.00557","8.67","8.61","29.2","3.8 m -  8.6 m","0"
"(2023 TM22)","2023-Oct-23 23:22 ± < 00:01","0.06441","0.06403","15.49","15.49","24.1","41 m -   92 m","0"
"(2023 VM)","2023-Oct-23 23:44 ±    00:04","0.03860","0.03800","20.99","20.99","23.9","45 m -  100 m","0"
"(2023 TX8)","2023-Oct-24 02:02 ± < 00:01","0.00852","0.00852","5.60","5.54","26.6","13 m -   29 m","0"
"(2022 UV5)","2023-Oct-24 04:41 ± < 00:01","0.07787","0.07787","5.56","5.56","25.7","20 m -   44 m","0"
"(2023 VY)","2023-Oct-24 06:33 ±    00:05","0.04373","0.04306","10.88","10.88","25.3","23 m -   52 m","0"
"(2023 VB)","2023-Oct-24 07:10 ±    00:02","0.01830","0.01822","12.14","12.13","25.2","24 m -   53 m","0"
"(2023 TW10)","2023-Oct-24 09:48 ±    00:01","0.08847","0.08671","14.85","14.85","24.0","42 m -   95 m","0"
"(2023 UO3)","2023-Oct-24 11:14 ± < 00:01","0.01740","0.01733","8.88","8.86","25.8","19 m -   41 m","0"
"(2023 VL)","2023-Oct-24 12:15 ± < 00:01","0.05181","0.05165","10.68","10.67","24.3","37 m -   84 m","0"
"(2023 UN7)","2023-Oct-24 16:52 ± < 00:01","0.03929","0.03916","14.12","14.12","24.1","41 m -   91 m","0"
"(2023 TE6)","2023-Oct-24 17:28 ± < 00:01","0.04353","0.04340","4.16","4.15","26.4","14 m -   31 m","0"
"(2023 RA4)","2023-Oct-24 18:42 ± < 00:01","0.02157","0.02157","3.93","3.90","24.7","31 m -   69 m","0"
"(2023 UH5)","2023-Oct-24 20:22 ± < 00:01","0.01847","0.01844","10.31","10.30","25.2","24 m -   54 m","0"
"(2023 VY2)","2023-Oct-25 00:27 ±    00:16","0.03961","0.03933","5.93","5.92","26.9","11 m -   25 m","0"
"(2023 UJ3)","2023-Oct-25 00:49 ±    00:54","0.04537","0.04517","4.19","4.17","27.2","9.7 m -   22 m","0"
"(2023 TX9)","2023-Oct-25 01:04 ± < 00:01","0.08996","0.08990","8.70","8.69","22.8","73 m -  160 m","0"
"(2023 UF6)","2023-Oct-25 03:28 ± < 00:01","0.02059","0.02051","15.34","15.33","25.9","18 m -   39 m","0"
"(2023 UR6)","2023-Oct-25 09:17 ± < 00:01","0.01238","0.01231","18.39","18.38","26.5","13 m -   30 m","0"
"(2023 VT)","2023-Oct-25 14:06 ±    00:15","0.02198","0.02190","9.54","9.53","26.3","14 m -   32 m","0"
"(2023 SO11)","2023-Oct-25 14:44 ± < 00:01","0.00854","0.00854","2.50","2.37","26.7","12 m -   27 m","0"
"(2017 TK6)","2023-Oct-25 20:18 ± < 00:01","0.07384","0.07384","13.59","13.58","24.6","32 m -   70 m","0"
"(2023 TG14)","2023-Oct-26 01:03 ± < 00:01","0.01062","0.01061","6.71","6.67","25.8","18 m -   40 m","0"
"(2023 UJ2)","2023-Oct-26 04:03 ±    00:04","0.03033","0.03020","3.25","3.22","24.4","36 m -   80 m","0"
"(2023 TR7)","2023-Oct-26 04:10 ± < 00:01","0.04953","0.04911","11.36","11.36","25.3","23 m -   51 m","0"
"(2022 UP20)","2023-Oct-26 06:57 ±    00:02","0.06599","0.06597","9.42","9.42","25.1","26 m -   57 m","0"
"(2010 GN67)","2023-Oct-26 08:34 ± < 00:01","0.09857","0.09857","14.40","14.40","22.2","97 m -  220 m","0"
"(2023 VD5)","2023-Oct-26 10:18 ± < 00:01","0.04422","0.04421","14.53","14.53","24.6","32 m -   71 m","0"
"(2023 TH7)","2023-Oct-26 19:13 ± < 00:01","0.08089","0.08060","19.90","19.90","23.3","57 m -  130 m","0"
"(2023 WR)","2023-Oct-26 21:01 ±    00:15","0.07310","0.07223","5.90","5.89","25.3","23 m -   52 m","0"
"(2023 VN2)","2023-Oct-26 21:18 ±    00:16","0.02859","0.02824","7.17","7.16","26.6","13 m -   28 m","0"
"(2023 VQ2)","2023-Oct-26 23:41 ±    00:14","0.00906","0.00899","9.13","9.10","26.4","14 m -   31 m","0"
"(2023 VP1)","2023-Oct-27 07:07 ±    00:06","0.09489","0.09335","14.80","14.80","23.7","49 m -  110 m","0"
